Station,pas,ele,dis,dis.v,pop3000m,size.m,punish,reach,relationship,score.P,score.H,edu,income,Cam_angle,days
ml1001,mengla,991,3325.54,7670.56,844,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,114
ml1003,mengla,1427,5326.54,7670.56,729.27,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,77
ml1005,mengla,1510,5228.3,7670.56,699.87,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,93
ml1006,mengla,1554,5336.65,7670.56,694.84,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,114
ml1007,mengla,1643,5202.37,7670.56,672.21,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,107
ml1008,mengla,1710,4968.82,7670.56,663.93,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,70
ml1009,mengla,1778,4744.98,7670.56,651.22,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,114
ml1011,mengla,1817,4360.02,7670.56,644.01,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,112
ml1012,mengla,1773,4492.28,7670.56,639.02,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,59
ml1013,mengla,1709,4713.27,7670.56,663.44,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,0,114
ml1014,mengla,1608,4920.71,7670.56,687.95,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,96
ml1015,mengla,1534,4722.54,7670.56,702.75,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,68
ml1016,mengla,1463,5044.72,10543.33,726.72,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,0,114
ml1017,mengla,1467,5448.44,10148.25,713.83,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,47
ml1018,mengla,1499,4934.13,9785.3,704.97,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,91
ml1019,mengla,1504,4459.65,9414.87,703.93,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,66
ml1020,mengla,1447,4209.73,9120.32,717.93,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,64
ml1021,mengla,1449,3946.63,8768.61,734.68,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,56
ml1022,mengla,1498,3334.75,8466.11,724.68,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,52
ml1023,mengla,1573,3162.92,8582.13,706.98,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,114
ml1024,mengla,1520,3004.96,8442.15,710.16,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,58
ml1025,mengla,1457,2609.59,8051.26,727.6,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,52
ml1026,mengla,1430,2409.88,7821.31,746.95,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,106
ml1027,mengla,1299,2085.48,7342.83,795.93,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,0,108
ml1028,mengla,1055,1723.13,6723.57,865.81,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,75
ml2001,mengla,1102,2570.19,20228.27,673.1,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,89
ml2002,mengla,1191,1666.22,20408.08,707,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml2003,mengla,1249,1208.53,20427.48,729.42,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,0,113
ml2004,mengla,1220,410.75,21070.79,800.59,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml2005,mengla,1294,599.08,21554.13,833.55,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml2006,mengla,1257,1024.29,21299.46,762.23,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,114
ml2007,mengla,951,2057.44,20829.02,715.76,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,14
ml3001,mengla,1543,3049.47,12976.96,636.76,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml3003,mengla,1451,3925.38,12245.4,640.66,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml3004,mengla,1232,3419.66,12992.26,651.58,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
ml3006,mengla,1102,1223.87,15248.33,675.04,9.27,0.84,2.64,0.48,0.26,0.41,5.47,31.62,1,113
mg1001,mangao,1312,1284.07,9377.81,1420.79,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,109
mg1002,mangao,1427,1217.16,9396.66,1445.41,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,35
mg1003,mangao,1391,876.54,9415.81,1519.66,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,48
mg1004,mangao,1387,705.86,9381.27,1556.25,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,57
mg1005,mangao,1376,345.2,9296.46,1633.62,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,54
mg1006,mangao,1343,668.39,9064.3,1607.75,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,63
mg2001,mangao,1370,1402.18,6705.43,1946.17,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,110
mg2002,mangao,1432,1694.38,6793.37,1881.12,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,48
mg2003,mangao,1375,2768.84,6823.13,1746.09,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,63
mg2004,mangao,1393,1660.81,7295.23,1717.66,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,60
mg2005,mangao,1224,1450.96,7888.62,1762.52,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,84
mg2006,mangao,1177,1227.44,8061.43,1756.2,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,53
mg2007,mangao,1376,1609.26,7489.18,1722.68,0.79,0.82,2.94,0.98,0.23,0.41,4.26,30.66,1,16
lsl1001,menglun,674,772.82,8191.28,4948.58,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,81
lsl1004,menglun,809,886.8,8761.92,4608.84,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,55
lsl1005,menglun,888,634.57,8707.98,4601.3,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,81
lsl1006,menglun,780,530.93,8428.31,4747.81,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,82
lsl2001,menglun,650,572.57,8819.51,4572.04,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,35
lsl2002,menglun,701,787.3,9048.47,4436.87,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,41
lsl2003,menglun,745,1128.36,9353.88,4316.04,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,34
lsl2004,menglun,714,966.29,9339.64,4367.99,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,11
lsl2005,menglun,720,776.34,8392.32,4796.41,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,53
lsl2006,menglun,710,657.19,8001.26,5139.76,0.15,0.84,2.23,0.62,0.17,0.39,4.88,38.32,1,24
bls1001,bulangshan,1380,1141.62,4207.6,943.08,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,0,200
bls1002,bulangshan,1449,959.63,3944.93,1005.68,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,200
bls1003,bulangshan,1459,1191.11,3901.43,1029.98,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,0,147
bls1004,bulangshan,1391,1335.69,3989.48,1021.76,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,200
bls1005,bulangshan,1385,1375.38,4001.27,1029.66,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,200
bls2001,bulangshan,1476,1009.67,19379.03,1091.23,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,284
bls2002,bulangshan,1557,714.16,19668.1,1081.9,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,77
bls2003,bulangshan,1412,847.38,19173,993.94,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,223
bls2004,bulangshan,1634,408.23,19148.24,1048.29,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,223
bls2005,bulangshan,1654,385.16,19110.47,1047.04,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,284
bls2006,bulangshan,1846,601.76,15947.19,891.73,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,221
bls2008,bulangshan,1477,992.26,12444.7,690.17,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,44
bls3001,bulangshan,1000,505.26,8641.48,853.09,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,148
bls3004,bulangshan,1045,1401.28,7960.68,908.43,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,223
bls3005,bulangshan,1076,1729.54,7690.54,934.74,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,170
bls3006,bulangshan,1146,1953.75,7518.91,960.79,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,223
bls3007,bulangshan,1284,1704.45,7489.47,997.04,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,223
bls3008,bulangshan,1433,1584.93,7329.89,1041.67,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,175
bls3009,bulangshan,1518,907.86,6665.56,1108.86,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,183
bls3010,bulangshan,1660,526.87,6329.35,1128.59,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,148
bls6001,bulangshan,1080,1347.34,9392.46,672.03,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,83
bls6002,bulangshan,1106,1246.39,9335.72,679.85,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,46
bls6004,bulangshan,932,424.59,14326.33,774.64,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,0,189
bls7001,bulangshan,1107,1120.87,6870.99,485.62,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,160
bls7003,bulangshan,1136,994.01,7037.56,443.64,2.5,0.73,3,0.57,0.16,0.34,4.61,29.07,1,165
ms4001,mengsong,1435,334.42,4350.31,1308.03,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,223
ms4002,mengsong,1372,541.18,4628.85,1304.97,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,223
ms4003,mengsong,1310,552.47,4668.18,1304.97,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,103
ms4004,mengsong,1219,426.96,5000.1,1295.26,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,103
ms4005,mengsong,1217,416.14,5008.02,1295.26,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,223
ms4006,mengsong,1238,269.76,5283.86,1302.9,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,223
ms5001,mengsong,1665,835.64,2977.99,1203.12,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,49
ms5002,mengsong,1683,1136.36,3355.51,1113.67,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,206
ms5004,mengsong,1744,1129.14,3621.67,1051.86,1.03,0.62,3.14,0.55,0.15,0.39,5.89,51.18,1,79
nbh1001,nabanhe,851,1519.35,10297.82,2801.11,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,0,55
nbh1004,nabanhe,926,1085.76,10310.42,2762.16,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,1,74
nbh1005,nabanhe,1043,981.12,10299.47,2757.87,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,0,68
nbh1007,nabanhe,1186,1224.58,9793.03,2715.61,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,0,78
nbh1009,nabanhe,717,992.55,10512.64,2780.4,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,1,102
nbh1012,nabanhe,1109,1369.01,9768.62,2718.11,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,1,80
nbh1013,nabanhe,1200,1140.99,9946.23,2735.77,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,0,41
nbh2004,nabanhe,975,1154.01,8281.17,2984.71,2.66,0.74,5.67,0.77,0.14,0.25,3.32,21.83,1,108
